x0000,y0000,x0001,y0001,x0002,y0002
0,789.8842163,0,407.7129517,0,0,
1,808.1275635,1,394.9740906,1,0,
2,769.4486084,2,400.1011047,2,0,
3,702.7393799,3,392.960022,3,0,
4,677.619873,4,406.0729065,4,0,
5,705.4052734,5,411.4823608,5,0,
6,687.7993164,6,428.3764038,6,0,
7,635.9636841,7,373.2705688,7,0,
8,577.5281982,8,400.6164246,8,0,
9,572.2225342,9,396.1646729,9,0,
10,553.3584595,10,405.8140869,10,0,
11,530.3362427,11,383.8164062,11,0,
12,514.078186,12,410.6540527,12,0,
13,526.4393311,13,396.0493469,13,0,
14,517.486145,14,425.1505432,14,0,
15,500.6592102,15,409.8729553,15,0,
16,511.6286011,16,439.2870789,16,0,
17,739.9467163,17,413.4164429,17,559.5873413,
18,739.350647,18,404.8681946,18,0,
19,686.7967529,19,410.0423279,19,0,
20,640.2221069,20,393.6353149,20,0,
21,639.8116455,21,412.1669922,21,0,
22,557.6897583,22,402.1788025,22,0,
23,549.6376343,23,399.6588135,23,0,
24,632.3198853,24,422.5340576,24,54.32889938,
25,937.5622559,25,422.5482483,25,1142.506104,
26,1150.014893,26,457.1599121,26,49.7473259,
27,1077.598022,27,439.6470337,27,0,
28,942.3651733,28,401.6753235,28,0,
29,858.9451904,29,408.9741211,29,0,
30,829.531189,30,375.3811035,30,0,
31,703.3339844,31,385.658783,31,0,
32,693.753418,32,413.6022949,32,0,
33,657.0169678,33,409.5975952,33,0,
34,608.2068481,34,398.162384,34,0,
35,605.2171021,35,378.6776123,35,0,
36,579.3075562,36,380.6869812,36,0,
37,586.8182373,37,399.162323,37,0,
38,579.8895874,38,384.1576843,38,0,
39,537.0135498,39,384.5740662,39,0,
40,533.2797852,40,393.6682434,40,0,
41,515.880127,41,385.8658447,41,0,
42,505.0488281,42,385.7176514,42,0,
43,499.5097351,43,383.1552734,43,0,
44,514.480835,44,389.7740784,44,0,
45,507.5343628,45,376.2258911,45,0,
46,465.8812866,46,389.8894348,46,0,
47,520.6083374,47,387.7929382,47,0,
48,596.3710327,48,430.9104919,48,0,
49,580.7667847,49,409.7364502,49,0,
50,561.7040405,50,384.9246826,50,0,
51,536.2737427,51,444.6541443,51,0,
52,503.5122375,52,375.8564453,52,0,
53,508.9797974,53,395.6988525,53,0,
54,495.1593628,54,404.0281982,54,0,
55,492.2432251,55,408.1387939,55,0,
56,478.0122681,56,392.6022644,56,0,
57,477.3744202,57,412.4470215,57,0,
58,479.1896057,58,396.9458313,58,0,
59,473.5447693,59,386.0212097,59,0,
60,454.5987244,60,391.3364868,60,0,
61,435.2437744,61,391.1882324,61,0,
62,436.3489075,62,383.5787964,62,0,
63,485.3496704,63,385.788208,63,37.79362869,
64,734.0430298,64,398.2894287,64,876.9190674,
65,779.675415,65,398.3764038,65,234.3713684,
66,984.2210083,66,432.8094177,66,732.496582,
67,1125.5979,67,441.1200256,67,347.9596558,
68,978.1978149,68,409.0823669,68,0,
69,888.6870728,69,419.1764832,69,0,
70,980.4993896,70,409.2588501,70,217.7599182,
71,976.809082,71,423.4000244,71,79.6540451,
72,1147.379272,72,441.5834961,72,615.3716431,
73,1145.022949,73,411.943512,73,0,
74,1183.139038,74,414.1694031,74,0,
75,1083.699829,75,431.0070496,75,0,
76,1043.769287,76,408.1999207,76,0,
77,953.1878052,77,419.8494873,77,0,
78,872.6713257,78,405.2352905,78,0,
79,795.9760132,79,381.7434387,79,0,
80,774.3339844,80,395.3647156,80,0,
81,732.8271484,81,390.5434875,81,0,
82,678.4439697,82,404.3082275,82,0,
83,623.5811768,83,395.4164429,83,0,
84,622.4954224,84,385.4187317,84,0,
85,579.9478149,85,392.1011353,85,0,
86,581.3289185,86,393.317627,86,0,
87,589.5726929,87,386.0941162,87,0,
88,571.2476196,88,392.3952332,88,0,
89,564.31073,89,381.4941406,89,0,
90,537.6629639,90,389.5952454,90,0,
91,590.6882935,91,409.9176331,91,0,
92,683.3510742,92,407.357666,92,129.1439209,
93,768.4260254,93,421.7341309,93,0,
94,744.0159912,94,402.0917358,94,0,
95,691.4272461,95,428.7506104,95,0,
96,604.3788452,96,407.9952698,96,0,
97,596.0649414,97,422.7411499,97,0,
98,566.048645,98,386.0258484,98,0,
99,558.5106201,99,394.3199768,99,0,
100,520.7426758,100,383.6729736,100,0,
101,471.7649231,101,386.9576416,101,0,
102,481.0744019,102,389.6682739,102,0,
103,502.9755554,103,407.0870361,103,0,
104,501.4896545,104,382.6611633,104,0,
105,487.0189209,105,395.3364258,105,0,
106,471.0861511,106,389.5622559,106,0,
107,484.4781799,107,367.6752319,107,0,
108,468.7055359,108,390.6517334,108,0,
109,446.5628967,109,384.8023682,109,0,
110,469.7590942,110,383.2424011,110,0,
111,459.6596985,111,380.6611328,111,0,
112,465.9731445,112,387.2422791,112,0,
113,462.2232056,113,385.1318054,113,0,
114,428.2726746,114,377.5011597,114,0,
115,445.6277466,115,385.8847046,115,0,
116,430.7880249,116,378.0846863,116,0,
117,413.0523376,117,362.1011658,117,0,
118,458.2329102,118,373.4635315,118,0,
119,431.3537598,119,391.3834839,119,0,
120,428.1779175,120,369.8658447,120,0,
121,425.8383789,121,404.7529297,121,0,
122,443.3293762,122,396.016449,122,0,
123,452.0971375,123,393.4494324,123,0,
124,433.4781799,124,405.9859314,124,0,
125,433.9648743,125,387.5058594,125,0,
126,435.6712646,126,383.6517639,126,0,
127,428.0133667,127,406.5223389,127,0,
128,433.6929321,128,385.1505432,128,0,
129,407.639801,129,415.6422729,129,0,
130,411.5730286,130,391.0281982,130,0,
131,410.6181946,131,389.1811523,131,0,
132,424.5982056,132,405.1246643,132,0,
133,419.0177002,133,414.6964417,133,0,
134,417.5990906,134,387.039978,134,0,
135,397.1152344,135,386.7364197,135,0,
136,396.6851196,136,394.5246277,136,0,
137,423.5820007,137,380.7905273,137,0,
138,406.1239624,138,401.0164795,138,0,
139,498.527832,139,382.2446594,139,188.4037933,
140,622.8167114,140,429.8305664,140,343.0105896,
141,674.9904175,141,444.7905884,141,42.12264633,
142,644.8775024,142,451.8634949,142,0,
143,592.0328979,143,438.8870239,143,0,
144,628.9899292,144,440.5764465,144,0,
145,665.7458496,145,429.8164368,145,0,
146,541.3910522,146,460.6164246,146,0,
147,554.6051025,147,435.463501,147,0,
148,549.3241577,148,403.7481995,148,0,
149,597.9140625,149,416.0023499,149,0,
150,575.9749756,150,422.0941162,150,0,
151,535.7161865,151,422.6494141,151,0,
152,519.6831055,152,391.2987976,152,0,
153,516.0335693,153,419.1293945,153,0,
154,473.6054993,154,400.2046509,154,0,
