x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,4.557452679,0,3.765547991,0,2.390241385,0,1.204796672,0,0.1319825053,
1,4.447676659,1,3.777904987,1,2.517020702,1,1.215621114,1,0.141035676,
2,4.405058861,2,3.769994974,2,2.305673361,2,1.205787539,2,0.2036608607,
3,4.470637321,3,3.79835844,3,2.397600174,3,1.171856761,3,0.2380494177,
4,4.550845623,4,3.849855185,4,2.654849291,4,1.184877038,4,0.1899745166,
5,4.445743084,5,3.74267745,5,2.491343021,5,1.132864714,5,0.1473404318,
6,4.43450737,6,3.749756336,6,2.505769014,6,1.196992397,6,0.2093075216,
7,4.43762064,7,3.745191574,7,2.501363754,7,1.270266294,7,0.1932246089,
8,4.449766159,8,3.755039692,8,2.657001972,8,1.27045846,8,0.2785892785,
9,4.525768757,9,3.835259438,9,2.593589783,9,1.261932492,9,0.1778317392,
10,4.483823776,10,3.791273594,10,2.532245159,10,1.320795417,10,0.2421165407,
11,4.474148273,11,3.777262688,11,2.612374306,11,1.364118934,11,0.2603507936,
12,4.429113388,12,3.827945471,12,2.443612099,12,1.270209074,12,0.2279066294,
13,4.515033245,13,3.886844635,13,2.606280565,13,1.233581185,13,0.117216967,
14,4.476604939,14,3.738931417,14,2.66330409,14,1.319186449,14,0.1714938134,
15,4.489355564,15,3.749334335,15,2.643882036,15,1.286352873,15,0.2865039408,
16,4.539805412,16,3.794075489,16,2.545253515,16,1.319514751,16,0.2173318863,
17,4.499593735,17,3.793783188,17,2.587927341,17,1.30350101,17,0.2120094895,
18,4.454244614,18,3.837600231,18,2.604427576,18,1.292714119,18,0.287304014,
19,4.475776672,19,3.774681807,19,2.595307827,19,1.299500704,19,0.214467451,
20,4.490692139,20,3.731702089,20,2.585733891,20,1.30179894,20,0.220554173,
21,4.487428665,21,3.746888161,21,2.530974388,21,1.259105682,21,0.2880973518,
22,4.442000389,22,3.822487831,22,2.554497957,22,1.219208837,22,0.2789747417,
23,4.558054447,23,3.813568592,23,2.379746675,23,1.333183527,23,0.2132397741,
24,4.409886837,24,3.810983896,24,2.547954798,24,1.256894827,24,0.2091320753,
25,4.470284939,25,3.797464371,25,2.352245331,25,1.269960642,25,0.1624329239,
26,4.591524601,26,3.749409199,26,2.417597532,26,1.215120077,26,0.1837051511,
27,4.585300446,27,3.696199179,27,2.553416967,27,1.209299326,27,0.206697315,
28,4.471065998,28,3.750661135,28,2.56338644,28,1.217256188,28,0.2646066844,
